"","ID","RT.diff.DD","RT.diff.PES","Sex_C","Child_Age","RavenScore","DD","NDD","PE","NPE"
"1","102",-0.096722647289077,-0.00264696162254566,1,5.55,27,1817.09090909091,1766.74285714286,1965.53846153846,1733.18181818182
"5","117",-1.03944319504155,-0.492889727890181,0,5.32,26,1365.29166666667,1492.90243902439,1478,1443.67213114754
"6","120",-0.99963034167942,2.29460802425727,0,6.22,26,1736.71428571429,1856.80952380952,2885,1724.68965517241
"7","121",0.260421279932198,-2.02907708113748,0,5.65,15,1805.7,1687.93333333333,1504,2090.2
"10","124",-0.847901782617253,0.0634629249461274,1,5.58,12,1547.85714285714,1639.31034482759,1766.17647058824,1507.11538461538
"11","125",0.261262583072652,-0.422199853128055,1,6,23,1727.76923076923,1609.84375,1718,1655.11764705882
"14","127",-1.52389332216383,-0.488989000870954,1,5.31,15,1490.05882352941,1709.12,1641.82352941176,1605.92
"15","128",-0.236863324742009,0.194340808267792,0,5.71,20,1072.04347826087,1048.15,1329.33333333333,1017.40540540541
"16","129",0.324022284687361,-1.25600763931119,0,6.1,13,1393.5,1263.72727272727,1138.15384615385,1412.08
"17","130",-0.192743836131608,1.01447649929927,0,5.95,21,1510.03448275862,1477.8125,2030.9,1387.6862745098
"18","131",1.10325842054837,-0.788856459433141,0,5.44,24,1420.31034482759,1143.44,1229,1314.225
"19","132",-1.63713100194796,0.213782600737815,0,5.49,19,1470.38095238095,1710.81818181818,1948,1628.21875
"20","133",0.628014252739225,0.213145277543179,0,5.73,17,1753.11428571429,1565.95652173913,1959.85714285714,1640.33333333333
"21","134",-0.0872523438409221,0.525394536378242,0,5.77,17,1400.44827586207,1348.3125,1753,1307.34615384615
"22","135",1.94109156985482,-0.414950826723303,1,6.1,15,1864.5,1429.47058823529,1652.6,1586.78947368421
"25","138",-0.115295078254878,-0.859759605814103,1,6.01,23,1734.5,1687.65789473684,1606.11111111111,1719.97674418605
"26","139",-0.00728800112077877,1.49471159680845,0,6.02,19,1318.11538461538,1250.88461538462,2089.5,1252.3
"27","140",1.02039297427262,0.91662156895111,1,5.98,19,1620.48484848485,1359.25714285714,2027.57142857143,1423.88524590164
"28","141",1.20077266723871,-0.308519144838478,0,5.73,16,1518.8,1223.52173913043,1436.76923076923,1327.96666666667
"29","142",-0.836857846940277,-0.383086479000913,1,5.2,16,1524,1613.36842105263,1627.90909090909,1549.22727272727
"31","143",0.867852655885896,-0.513117613360353,0,6.17,16,2114,1881.56756756757,1981.9375,1955.78048780488
"32","145",-1.09625179600996,0.545879560430644,0,5.43,21,1587.47619047619,1725.81081081081,2114,1660.07142857143
"34","147",0.219670104011135,0.411052917618104,0,5.5,21,1888.83870967742,1778.76470588235,2200,1800.53333333333
"35","148",-1.57979401047933,-0.995457101500648,1,5.69,15,1533.5,1763.11363636364,1538.2,1706.87931034483
"36","149",-0.0263290350454582,-0.529061421604859,0,5.21,21,1620,1556.36363636364,1600.75,1581.03333333333
"37","150",-0.591562497547741,1.69088091242578,1,5.97,23,1538.55,1581.61363636364,2413,1496.5593220339
"38","151",-0.225405390899492,-0.0648174596075638,1,5.81,19,1928.42307692308,1902.36666666667,2084.7,1877.45652173913
"39","152",0.746481104977858,1.08070090471981,1,6.16,24,1251.10714285714,1041.58620689655,1685.18181818182,1015.21739130435
"41","153",1.56874378262371,-0.384472880433572,1,5.7,19,1713.74074074074,1349,1588.83333333333,1510.71153846154
"42","154",0.204808061477342,-0.696627679035251,0,5.31,12,2288.78571428571,2181.51724137931,2201.38888888889,2249.35897435897
"43","155",4.7378033243028,-1.03384938976982,1,6.22,18,2446.70588235294,1483.73684210526,1774.75,1958.9375
"44","156",-0.169965495669534,1.5185229813033,0,6.21,18,1745.81818181818,1709.2962962963,2347.84615384615,1501.02777777778
"45","157",-1.31113999213391,0.217346174313697,0,6.52,25,1080.72222222222,1259.62162162162,1417.16666666667,1095.94594594595
"46","158",0.191263635159627,-0.39477123092313,0,6.1,30,1340.84210526316,1236.13043478261,1338.09090909091,1264.12903225806
"47","159",0.395510541756936,-0.665378791166724,1,5.91,24,2345.05555555556,2201.78787878788,2221.85714285714,2257.20454545455
"49","161",1.26131922872693,-0.472449396253032,1,5.27,23,1798.65217391304,1491.94444444444,1682.69565217391,1640.11111111111
"50","162",-0.712761958033845,-0.090880206695736,1,5.09,12,2065.88235294118,2131.825,2288.16666666667,2091.45098039216
"51","163",0.793540323676541,-1.10676774467056,0,5.33,17,2345.17857142857,2126.77419354839,2045.75,2259.39215686275
"52","164",-0.644905793560212,-0.543359304815853,0,5.54,17,1356.86666666667,1410,1394,1380.05882352941
"53","165",-0.107487605365199,0.286667077753683,0,5.05,27,1377.92307692308,1329.60714285714,1643.88888888889,1294.66666666667
"54","166",-0.377048230352644,-0.124491113615938,0,4.83,9,1882.88888888889,1885.45833333333,2041.33333333333,1858.19444444444
"55","167",-0.697237896157314,-1.10765362607814,0,4.61,21,1977.46153846154,2040.47368421053,1854.375,2068.375
"56","168",0.868004476011811,-0.635100212555178,1,5.41,23,1899.09523809524,1666.63414634146,1723,1746.11666666667
"58","169",0.588444044383735,0.94583854653036,0,5.04,18,2351.07692307692,2171.38888888889,2802.66666666667,2187.17857142857
"59","170",-0.524540367985916,-0.0402716044262833,0,5.59,20,1456,1486.41176470588,1643.5,1426.34146341463
"60","171",-0.383957984712313,0.178013075895556,0,5.15,19,1349.65,1353.52380952381,1537.8125,1232.48
"61","172",0.871386023948633,-1.5378504664066,0,4.9,13,2215.31818181818,1982.21875,1775.58333333333,2163.35714285714
"62","173",-0.865923574292663,-0.340832252610558,0,5.34,22,1265.61538461538,1360.47058823529,1383.2,1287.45
"63","174",0.493316394461782,-0.585465935352168,1,5.67,14,2345.51851851852,2183.78787878788,2253.85714285714,2256.92452830189
"64","175",-0.2187250938761,0.0916291026635448,1,4.97,16,1831.09523809524,1803.77777777778,2017.85714285714,1747.41860465116
"65","176",-1.799623076427,1.56569524279941,0,5.01,16,1265.40740740741,1536.51851851852,2090.45454545455,1224.58139534884
"66","177",0.349668668748349,-0.845097312410915,0,5.44,15,1769.94736842105,1635.33333333333,1604.11111111111,1712.05405405405
"68","179",1.03388276044532,-0.85324584556098,1,5.1,18,1950.77419354839,1687,1711.83333333333,1823.06779661017
"70","181",0.148833247527337,-0.691998069644863,0,4.74,20,1129.09090909091,1032.38888888889,1051,1097.1
"71","182",0.723326472668759,0.465533480659374,1,5.1,14,2087.95,1882.8,2273.69230769231,1852.21875
"72","185",0.765970609249298,-0.297982290279867,1,5.42,13,1810,1596.8,1741.11764705882,1628.05882352941
"73","186",0.511770689508346,0.43386193679076,1,5.18,17,1661.16666666667,1495.95238095238,1766.5625,1357.88235294118
"74","187",-0.257008409142567,-0.170496270000999,0,5.23,13,2117.32142857143,2097.23076923077,2244.77777777778,2080.22222222222
"76","190",-0.266569940005107,0.809161518980606,1,5.56,15,1781.28571428571,1763,2249.57142857143,1689.29268292683
"77","191",-0.30581318634075,2.99521468651513,0,5.6,25,1323.39285714286,1312.51515151515,2713.5,1270.18644067797
"78","192",1.31696685422881,-0.181753157284771,0,5.94,19,1707.82352941176,1390.61111111111,1604.0625,1444.05405405405
"80","196",0.579236967700982,-0.285368428396407,0,5.29,15,2426.86666666667,2248.91666666667,2400.875,2282.72093023256
"82","198",0.214815057737928,-1.03669536547196,1,5.7,24,1915.53846153846,1806.38095238095,1732.69230769231,1918.02941176471
"83","199",0.290414701046814,0.675500589270081,1,5.68,16,1776.42857142857,1653,2174.2,1667.91228070175
"84","304",-0.762760514710329,0.112506976271473,0,5.84,19,1860.33333333333,1935.71428571429,2136.75,1857.87804878049
"85","307",-1.1363442615356,-0.160060870178229,1,5.82,19,1535.40740740741,1681.31034482759,1755.625,1586.85416666667
"86","308",0.604793158039764,-0.0857752645205884,1,5.7,22,1619.58823529412,1436.81395348837,1667.5,1468.72222222222
